ElectionDate	PartyCode	PartyName	RaceCode	RaceName	CountyCode	CountyName	Juris1num	Juris2num	Precincts	PrecinctsReporting	CanNameLast	CanNameFirst	CanNameMiddle	CanVotes
08/28/2018	REP	Republican Party	USS	United States Senator	ALA	Alachua	   	 	63	63	De La Fuente	Roque	"Rocky"	2181
08/28/2018	REP	Republican Party	USS	United States Senator	BAK	Baker	   	 	9	9	De La Fuente	Roque	"Rocky"	244
08/28/2018	REP	Republican Party	USS	United States Senator	BAY	Bay	   	 	44	44	De La Fuente	Roque	"Rocky"	1770
08/28/2018	REP	Republican Party	USS	United States Senator	BRA	Bradford	   	 	14	14	De La Fuente	Roque	"Rocky"	306
08/28/2018	REP	Republican Party	USS	United States Senator	BRE	Brevard	   	 	174	174	De La Fuente	Roque	"Rocky"	7770
08/28/2018	REP	Republican Party	USS	United States Senator	BRO	Broward	   	 	577	565	De La Fuente	Roque	"Rocky"	8576
08/28/2018	REP	Republican Party	USS	United States Senator	CAL	Calhoun	   	 	11	11	De La Fuente	Roque	"Rocky"	113
08/28/2018	REP	Republican Party	USS	United States Senator	CHA	Charlotte	   	 	67	67	De La Fuente	Roque	"Rocky"	2937
08/28/2018	REP	Republican Party	USS	United States Senator	CIT	Citrus	   	 	31	31	De La Fuente	Roque	"Rocky"	2404
08/28/2018	REP	Republican Party	USS	United States Senator	CLA	Clay	   	 	47	47	De La Fuente	Roque	"Rocky"	2526
08/28/2018	REP	Republican Party	USS	United States Senator	CLL	Collier	   	 	59	59	De La Fuente	Roque	"Rocky"	3424
08/28/2018	REP	Republican Party	USS	United States Senator	CLM	Columbia	   	 	22	22	De La Fuente	Roque	"Rocky"	734
08/28/2018	REP	Republican Party	USS	United States Senator	DAD	Miami-Dade	   	 	762	762	De La Fuente	Roque	"Rocky"	12341
08/28/2018	REP	Republican Party	USS	United States Senator	DES	Desoto	   	 	15	15	De La Fuente	Roque	"Rocky"	271
08/28/2018	REP	Republican Party	USS	United States Senator	DIX	Dixie	   	 	10	10	De La Fuente	Roque	"Rocky"	220
08/28/2018	REP	Republican Party	USS	United States Senator	DUV	Duval	   	 	199	199	De La Fuente	Roque	"Rocky"	6683
08/28/2018	REP	Republican Party	USS	United States Senator	ESC	Escambia	   	 	79	79	De La Fuente	Roque	"Rocky"	4819
08/28/2018	REP	Republican Party	USS	United States Senator	FLA	Flagler	   	 	25	25	De La Fuente	Roque	"Rocky"	1078
08/28/2018	REP	Republican Party	USS	United States Senator	FRA	Franklin	   	 	8	8	De La Fuente	Roque	"Rocky"	217
08/28/2018	REP	Republican Party	USS	United States Senator	GAD	Gadsden	   	 	25	25	De La Fuente	Roque	"Rocky"	213
08/28/2018	REP	Republican Party	USS	United States Senator	GIL	Gilchrist	   	 	10	10	De La Fuente	Roque	"Rocky"	303
08/28/2018	REP	Republican Party	USS	United States Senator	GLA	Glades	   	 	13	13	De La Fuente	Roque	"Rocky"	98
08/28/2018	REP	Republican Party	USS	United States Senator	GUL	Gulf	   	 	10	10	De La Fuente	Roque	"Rocky"	263
08/28/2018	REP	Republican Party	USS	United States Senator	HAM	Hamilton	   	 	8	8	De La Fuente	Roque	"Rocky"	100
08/28/2018	REP	Republican Party	USS	United States Senator	HAR	Hardee	   	 	12	12	De La Fuente	Roque	"Rocky"	263
08/28/2018	REP	Republican Party	USS	United States Senator	HEN	Hendry	   	 	10	10	De La Fuente	Roque	"Rocky"	201
08/28/2018	REP	Republican Party	USS	United States Senator	HER	Hernando	   	 	64	64	De La Fuente	Roque	"Rocky"	2651
08/28/2018	REP	Republican Party	USS	United States Senator	HIG	Highlands	   	 	25	25	De La Fuente	Roque	"Rocky"	1085
08/28/2018	REP	Republican Party	USS	United States Senator	HIL	Hillsborough	   	 	390	378	De La Fuente	Roque	"Rocky"	9703
08/28/2018	REP	Republican Party	USS	United States Senator	HOL	Holmes	   	 	8	8	De La Fuente	Roque	"Rocky"	396
08/28/2018	REP	Republican Party	USS	United States Senator	IND	Indian River	   	 	36	36	De La Fuente	Roque	"Rocky"	2411
08/28/2018	REP	Republican Party	USS	United States Senator	JAC	Jackson	   	 	14	14	De La Fuente	Roque	"Rocky"	335
08/28/2018	REP	Republican Party	USS	United States Senator	JEF	Jefferson	   	 	16	16	De La Fuente	Roque	"Rocky"	224
08/28/2018	REP	Republican Party	USS	United States Senator	LAF	Lafayette	   	 	5	5	De La Fuente	Roque	"Rocky"	63
08/28/2018	REP	Republican Party	USS	United States Senator	LAK	Lake	   	 	102	102	De La Fuente	Roque	"Rocky"	3601
08/28/2018	REP	Republican Party	USS	United States Senator	LEE	Lee	   	 	127	127	De La Fuente	Roque	"Rocky"	8093
08/28/2018	REP	Republican Party	USS	United States Senator	LEO	Leon	   	 	155	155	De La Fuente	Roque	"Rocky"	3454
08/28/2018	REP	Republican Party	USS	United States Senator	LEV	Levy	   	 	13	13	De La Fuente	Roque	"Rocky"	810
08/28/2018	REP	Republican Party	USS	United States Senator	LIB	Liberty	   	 	8	0	De La Fuente	Roque	"Rocky"	58
08/28/2018	REP	Republican Party	USS	United States Senator	MAD	Madison	   	 	11	11	De La Fuente	Roque	"Rocky"	140
08/28/2018	REP	Republican Party	USS	United States Senator	MAN	Manatee	   	 	70	70	De La Fuente	Roque	"Rocky"	4709
08/28/2018	REP	Republican Party	USS	United States Senator	MON	Monroe	   	 	33	33	De La Fuente	Roque	"Rocky"	1196
08/28/2018	REP	Republican Party	USS	United States Senator	MRN	Marion	   	 	125	125	De La Fuente	Roque	"Rocky"	4723
08/28/2018	REP	Republican Party	USS	United States Senator	MRT	Martin	   	 	30	30	De La Fuente	Roque	"Rocky"	4906
08/28/2018	REP	Republican Party	USS	United States Senator	NAS	Nassau	   	 	15	15	De La Fuente	Roque	"Rocky"	1526
08/28/2018	REP	Republican Party	USS	United States Senator	OKA	Okaloosa	   	 	52	51	De La Fuente	Roque	"Rocky"	3145
08/28/2018	REP	Republican Party	USS	United States Senator	OKE	Okeechobee	   	 	11	11	De La Fuente	Roque	"Rocky"	438
08/28/2018	REP	Republican Party	USS	United States Senator	ORA	Orange	   	 	247	247	De La Fuente	Roque	"Rocky"	7905
08/28/2018	REP	Republican Party	USS	United States Senator	OSC	Osceola	   	 	87	87	De La Fuente	Roque	"Rocky"	1398
08/28/2018	REP	Republican Party	USS	United States Senator	PAL	Palm Beach	   	 	871	853	De La Fuente	Roque	"Rocky"	8100
08/28/2018	REP	Republican Party	USS	United States Senator	PAS	Pasco	   	 	110	110	De La Fuente	Roque	"Rocky"	5354
08/28/2018	REP	Republican Party	USS	United States Senator	PIN	Pinellas	   	 	299	299	De La Fuente	Roque	"Rocky"	12509
08/28/2018	REP	Republican Party	USS	United States Senator	POL	Polk	   	 	167	167	De La Fuente	Roque	"Rocky"	5507
08/28/2018	REP	Republican Party	USS	United States Senator	PUT	Putnam	   	 	35	35	De La Fuente	Roque	"Rocky"	707
08/28/2018	REP	Republican Party	USS	United States Senator	SAN	Santa Rosa	   	 	41	41	De La Fuente	Roque	"Rocky"	3709
08/28/2018	REP	Republican Party	USS	United States Senator	SAR	Sarasota	   	 	101	101	De La Fuente	Roque	"Rocky"	6675
08/28/2018	REP	Republican Party	USS	United States Senator	SEM	Seminole	   	 	81	81	De La Fuente	Roque	"Rocky"	4306
08/28/2018	REP	Republican Party	USS	United States Senator	STJ	St. Johns	   	 	46	46	De La Fuente	Roque	"Rocky"	2729
08/28/2018	REP	Republican Party	USS	United States Senator	STL	St. Lucie	   	 	64	64	De La Fuente	Roque	"Rocky"	2916
08/28/2018	REP	Republican Party	USS	United States Senator	SUM	Sumter	   	 	26	26	De La Fuente	Roque	"Rocky"	1032
08/28/2018	REP	Republican Party	USS	United States Senator	SUW	Suwannee	   	 	16	16	De La Fuente	Roque	"Rocky"	528
08/28/2018	REP	Republican Party	USS	United States Senator	TAY	Taylor	   	 	14	14	De La Fuente	Roque	"Rocky"	223
08/28/2018	REP	Republican Party	USS	United States Senator	UNI	Union	   	 	8	8	De La Fuente	Roque	"Rocky"	178
08/28/2018	REP	Republican Party	USS	United States Senator	VOL	Volusia	   	 	125	125	De La Fuente	Roque	"Rocky"	4813
08/28/2018	REP	Republican Party	USS	United States Senator	WAK	Wakulla	   	 	12	12	De La Fuente	Roque	"Rocky"	465
08/28/2018	REP	Republican Party	USS	United States Senator	WAL	Walton	   	 	21	21	De La Fuente	Roque	"Rocky"	2230
