[V|FLDOS|330806|I|120001|12097|87|71039|14167]
[V|FLDOS|330807|I|120001|12099|871|71036|8579]
[V|FLDOS|330808|I|120001|12099|871|71039|67902]
[V|FLDOS|330809|I|120001|12101|110|71036|5354]
[V|FLDOS|330810|I|120001|12101|110|71039|40445]
[V|FLDOS|330811|I|120001|12103|299|71036|12521]
[V|FLDOS|330812|I|120001|12103|299|71039|77840]
[V|FLDOS|330813|I|120001|12105|167|71036|5507]
[V|FLDOS|330814|I|120001|12105|167|71039|53972]
[V|FLDOS|330815|I|120001|12107|35|71036|707]
[V|FLDOS|330816|I|120001|12107|35|71039|6776]
[V|FLDOS|330817|I|120001|12109|46|71036|2729]
[V|FLDOS|330818|I|120001|12109|46|71039|31371]
[V|FLDOS|330819|I|120001|12111|64|71036|2916]
[V|FLDOS|330820|I|120001|12111|64|71039|20207]
[V|FLDOS|330821|I|120001|12113|41|71036|3709]
[V|FLDOS|330822|I|120001|12113|41|71039|21460]
[V|FLDOS|330823|I|120001|12115|99|71036|6675]
[V|FLDOS|330824|I|120001|12115|99|71039|42968]
[V|FLDOS|330825|I|120001|12117|81|71036|4306]
[V|FLDOS|330826|I|120001|12117|81|71039|35989]
[V|FLDOS|330827|I|120001|12119|26|71036|1032]
[V|FLDOS|330828|I|120001|12119|26|71039|23817]
[V|FLDOS|330829|I|120001|12121|16|71036|528]
[V|FLDOS|330830|I|120001|12121|16|71039|4117]
[V|FLDOS|330831|I|120001|12123|14|71036|223]
[V|FLDOS|330832|I|120001|12123|14|71039|1702]
[V|FLDOS|330833|I|120001|12125|13|71036|178]
[V|FLDOS|330834|I|120001|12125|13|71039|1210]
[V|FLDOS|330835|I|120001|12127|125|71036|4813]
[V|FLDOS|330836|I|120001|12127|125|71039|47829]
[V|FLDOS|330837|I|120001|12129|12|71036|465]
[V|FLDOS|330838|I|120001|12129|12|71039|2950]
[V|FLDOS|330839|I|120001|12131|21|71036|2230]
[V|FLDOS|330840|I|120001|12131|21|71039|8659]
[V|FLDOS|330841|I|120001|12133|12|71036|323]
[V|FLDOS|330842|I|120001|12133|12|71039|2745]
[V|FLDOS|330843|I|140011|12033|79|70029|13565]
[V|FLDOS|330844|I|140011|12033|79|69668|21313]
[V|FLDOS|330845|I|140011|12033|79|69933|1737]
[V|FLDOS|330846|I|140011|12059|6|70029|217]
[V|FLDOS|330847|I|140011|12059|6|69668|1517]
[V|FLDOS|330848|I|140011|12059|6|69933|165]
[V|FLDOS|330849|I|140011|12091|52|70029|5515]
[V|FLDOS|330850|I|140011|12091|52|69668|19326]
[V|FLDOS|330851|I|140011|12091|52|69933|1189]
[V|FLDOS|330852|I|140011|12113|41|70029|9181]
[V|FLDOS|330853|I|140011|12113|41|69668|15128]
[V|FLDOS|330854|I|140011|12113|41|69933|953]
[V|FLDOS|330855|I|140011|12131|21|70029|1943]
[V|FLDOS|330856|I|140011|12131|21|69668|7885]
[V|FLDOS|330857|I|140011|12131|21|69933|940]
[V|FLDOS|330858|I|140012|12033|79|69968|8956]
[V|FLDOS|330859|I|140012|12033|79|70383|12710]
[V|FLDOS|330860|I|140012|12059|6|69968|221]
[V|FLDOS|330861|I|140012|12059|6|70383|391]
[V|FLDOS|330862|I|140012|12091|52|69968|2602]
[V|FLDOS|330863|I|140012|12091|52|70383|3888]
[V|FLDOS|330864|I|140012|12113|41|69968|2109]
[V|FLDOS|330865|I|140012|12113|41|70383|4098]
[V|FLDOS|330866|I|140012|12131|21|69968|754]
[V|FLDOS|330867|I|140012|12131|21|70383|1323]
[V|FLDOS|330868|I|140022|12005|44|70409|4548]
[V|FLDOS|330869|I|140022|12005|44|70053|2956]
[V|FLDOS|330870|I|140022|12013|11|70409|601]
[V|FLDOS|330871|I|140022|12013|11|70053|520]
[V|FLDOS|330872|I|140022|12023|19|70409|2242]
[V|FLDOS|330873|I|140022|12023|19|70053|1001]
[V|FLDOS|330874|I|140022|12029|10|70409|540]
[V|FLDOS|330875|I|140022|12029|10|70053|287]
[V|FLDOS|330876|I|140022|12037|8|70409|1159]
[V|FLDOS|330877|I|140022|12037|8|70053|672]
[V|FLDOS|330878|I|140022|12041|10|70409|475]
[V|FLDOS|330879|I|140022|12041|10|70053|267]
[V|FLDOS|330880|I|140022|12045|10|70409|670]
[V|FLDOS|330881|I|140022|12045|10|70053|413]
[V|FLDOS|330882|I|140022|12059|3|70409|224]
[V|FLDOS|330883|I|140022|12059|3|70053|112]
[V|FLDOS|330884|I|140022|12063|14|70409|2692]
[V|FLDOS|330885|I|140022|12063|14|70053|1699]
[V|FLDOS|330886|I|140022|12065|3|70409|76]
[V|FLDOS|330887|I|140022|12065|3|70053|117]
[V|FLDOS|330888|I|140022|12067|5|70409|344]
[V|FLDOS|330889|I|140022|12067|5|70053|158]
[V|FLDOS|330890|I|140022|12073|66|70409|5788]
[V|FLDOS|330891|I|140022|12073|66|70053|14156]
[V|FLDOS|330892|I|140022|12075|13|70409|1673]
[V|FLDOS|330893|I|140022|12075|13|70053|790]
[V|FLDOS|330894|I|140022|12077|0|70409|761]
[V|FLDOS|330895|I|140022|12077|0|70053|625]
[V|FLDOS|330896|I|140022|12083|21|70409|2240]
[V|FLDOS|330897|I|140022|12083|21|70053|1452]
[V|FLDOS|330898|I|140022|12121|16|70409|1476]
[V|FLDOS|330899|I|140022|12121|16|70053|827]
[V|FLDOS|330900|I|140022|12123|14|70409|837]
[V|FLDOS|330901|I|140022|12123|14|70053|990]
[V|FLDOS|330902|I|140022|12129|12|70409|1240]
[V|FLDOS|330903|I|140022|12129|12|70053|1788]
[V|FLDOS|330904|I|140022|12133|12|70409|767]
[V|FLDOS|330905|I|140022|12133|12|70053|494]
[V|FLDOS|330906|I|140031|12001|63|70494|2702]
