id,raceid,racetype,racetypeid,ballotorder,candidateid,description,delegatecount,electiondate,electtotal,electwon,fipscode,first,incumbent,initialization_data,is_ballot_measure,last,lastupdated,level,national,officeid,officename,party,polid,polnum,precinctsreporting,precinctsreportingpct,precinctstotal,reportingunitid,reportingunitname,runoff,seatname,seatnum,statename,statepostal,test,uncontested,votecount,votepct,winner
floridaofficial-120001-12023,120001,Republican Primary,Republican Primary,997320,floridaofficial-71039,,,,,,,Rick,,,,Scott,,,FALSE,,United States Senator,Republican Party,floridaofficial-71039,,22,1,22,12023,Columbia,,,,Florida,FL,,,6709,0.90138,
floridaofficial-120001-12027,120001,Republican Primary,Republican Primary,997321,floridaofficial-71036,,,,,,,Roque,,,,De La Fuente,,,FALSE,,United States Senator,Republican Party,floridaofficial-71036,,15,1,15,12027,Desoto,,,,Florida,FL,,,271,0.13708,
floridaofficial-120001-12027,120001,Republican Primary,Republican Primary,997322,floridaofficial-71039,,,,,,,Rick,,,,Scott,,,FALSE,,United States Senator,Republican Party,floridaofficial-71039,,15,1,15,12027,Desoto,,,,Florida,FL,,,1706,0.86292,
floridaofficial-120001-12029,120001,Republican Primary,Republican Primary,997323,floridaofficial-71036,,,,,,,Roque,,,,De La Fuente,,,FALSE,,United States Senator,Republican Party,floridaofficial-71036,,10,1,10,12029,Dixie,,,,Florida,FL,,,220,0.14075,
floridaofficial-120001-12029,120001,Republican Primary,Republican Primary,997324,floridaofficial-71039,,,,,,,Rick,,,,Scott,,,FALSE,,United States Senator,Republican Party,floridaofficial-71039,,10,1,10,12029,Dixie,,,,Florida,FL,,,1343,0.85925,
floridaofficial-120001-12031,120001,Republican Primary,Republican Primary,997325,floridaofficial-71036,,,,,,,Roque,,,,De La Fuente,,,FALSE,,United States Senator,Republican Party,floridaofficial-71036,,199,1,199,12031,Duval,,,,Florida,FL,,,6881,0.092223,
floridaofficial-120001-12031,120001,Republican Primary,Republican Primary,997326,floridaofficial-71039,,,,,,,Rick,,,,Scott,,,FALSE,,United States Senator,Republican Party,floridaofficial-71039,,199,1,199,12031,Duval,,,,Florida,FL,,,67732,0.90778,
floridaofficial-120001-12033,120001,Republican Primary,Republican Primary,997327,floridaofficial-71036,,,,,,,Roque,,,,De La Fuente,,,FALSE,,United States Senator,Republican Party,floridaofficial-71036,,79,1,79,12033,Escambia,,,,Florida,FL,,,4819,0.13199,
floridaofficial-120001-12033,120001,Republican Primary,Republican Primary,997328,floridaofficial-71039,,,,,,,Rick,,,,Scott,,,FALSE,,United States Senator,Republican Party,floridaofficial-71039,,79,1,79,12033,Escambia,,,,Florida,FL,,,31692,0.86801,
floridaofficial-120001-12035,120001,Republican Primary,Republican Primary,997329,floridaofficial-71036,,,,,,,Roque,,,,De La Fuente,,,FALSE,,United States Senator,Republican Party,floridaofficial-71036,,25,1,25,12035,Flagler,,,,Florida,FL,,,1078,0.081230,
floridaofficial-120001-12035,120001,Republican Primary,Republican Primary,997330,floridaofficial-71039,,,,,,,Rick,,,,Scott,,,FALSE,,United States Senator,Republican Party,floridaofficial-71039,,25,1,25,12035,Flagler,,,,Florida,FL,,,12193,0.91877,
floridaofficial-120001-12037,120001,Republican Primary,Republican Primary,997331,floridaofficial-71036,,,,,,,Roque,,,,De La Fuente,,,FALSE,,United States Senator,Republican Party,floridaofficial-71036,,8,1,8,12037,Franklin,,,,Florida,FL,,,238,0.16903,
floridaofficial-120001-12037,120001,Republican Primary,Republican Primary,997332,floridaofficial-71039,,,,,,,Rick,,,,Scott,,,FALSE,,United States Senator,Republican Party,floridaofficial-71039,,8,1,8,12037,Franklin,,,,Florida,FL,,,1170,0.83097,
floridaofficial-120001-12039,120001,Republican Primary,Republican Primary,997333,floridaofficial-71036,,,,,,,Roque,,,,De La Fuente,,,FALSE,,United States Senator,Republican Party,floridaofficial-71036,,25,1,25,12039,Gadsden,,,,Florida,FL,,,213,0.10946,
floridaofficial-120001-12039,120001,Republican Primary,Republican Primary,997334,floridaofficial-71039,,,,,,,Rick,,,,Scott,,,FALSE,,United States Senator,Republican Party,floridaofficial-71039,,25,1,25,12039,Gadsden,,,,Florida,FL,,,1733,0.89054,
floridaofficial-120001-12041,120001,Republican Primary,Republican Primary,997335,floridaofficial-71036,,,,,,,Roque,,,,De La Fuente,,,FALSE,,United States Senator,Republican Party,floridaofficial-71036,,10,1,10,12041,Gilchrist,,,,Florida,FL,,,303,0.1212,
floridaofficial-120001-12041,120001,Republican Primary,Republican Primary,997336,floridaofficial-71039,,,,,,,Rick,,,,Scott,,,FALSE,,United States Senator,Republican Party,floridaofficial-71039,,10,1,10,12041,Gilchrist,,,,Florida,FL,,,2197,0.8788,
floridaofficial-120001-12043,120001,Republican Primary,Republican Primary,997337,floridaofficial-71036,,,,,,,Roque,,,,De La Fuente,,,FALSE,,United States Senator,Republican Party,floridaofficial-71036,,13,1,13,12043,Glades,,,,Florida,FL,,,98,0.10155,
floridaofficial-120001-12043,120001,Republican Primary,Republican Primary,997338,floridaofficial-71039,,,,,,,Rick,,,,Scott,,,FALSE,,United States Senator,Republican Party,floridaofficial-71039,,13,1,13,12043,Glades,,,,Florida,FL,,,867,0.89845,
floridaofficial-120001-12045,120001,Republican Primary,Republican Primary,997339,floridaofficial-71036,,,,,,,Roque,,,,De La Fuente,,,FALSE,,United States Senator,Republican Party,floridaofficial-71036,,10,1,10,12045,Gulf,,,,Florida,FL,,,263,0.13755,
floridaofficial-120001-12045,120001,Republican Primary,Republican Primary,997340,floridaofficial-71039,,,,,,,Rick,,,,Scott,,,FALSE,,United States Senator,Republican Party,floridaofficial-71039,,10,1,10,12045,Gulf,,,,Florida,FL,,,1649,0.86245,
floridaofficial-120001-12047,120001,Republican Primary,Republican Primary,997341,floridaofficial-71036,,,,,,,Roque,,,,De La Fuente,,,FALSE,,United States Senator,Republican Party,floridaofficial-71036,,8,1,8,12047,Hamilton,,,,Florida,FL,,,100,0.10406,
floridaofficial-120001-12047,120001,Republican Primary,Republican Primary,997342,floridaofficial-71039,,,,,,,Rick,,,,Scott,,,FALSE,,United States Senator,Republican Party,floridaofficial-71039,,8,1,8,12047,Hamilton,,,,Florida,FL,,,861,0.89594,
floridaofficial-120001-12049,120001,Republican Primary,Republican Primary,997343,floridaofficial-71036,,,,,,,Roque,,,,De La Fuente,,,FALSE,,United States Senator,Republican Party,floridaofficial-71036,,12,1,12,12049,Hardee,,,,Florida,FL,,,263,0.10708,
floridaofficial-120001-12049,120001,Republican Primary,Republican Primary,997344,floridaofficial-71039,,,,,,,Rick,,,,Scott,,,FALSE,,United States Senator,Republican Party,floridaofficial-71039,,12,1,12,12049,Hardee,,,,Florida,FL,,,2193,0.89292,
floridaofficial-120001-12051,120001,Republican Primary,Republican Primary,997345,floridaofficial-71036,,,,,,,Roque,,,,De La Fuente,,,FALSE,,United States Senator,Republican Party,floridaofficial-71036,,10,1,10,12051,Hendry,,,,Florida,FL,,,201,0.090827,
floridaofficial-120001-12051,120001,Republican Primary,Republican Primary,997346,floridaofficial-71039,,,,,,,Rick,,,,Scott,,,FALSE,,United States Senator,Republican Party,floridaofficial-71039,,10,1,10,12051,Hendry,,,,Florida,FL,,,2012,0.90917,
floridaofficial-120001-12053,120001,Republican Primary,Republican Primary,997347,floridaofficial-71036,,,,,,,Roque,,,,De La Fuente,,,FALSE,,United States Senator,Republican Party,floridaofficial-71036,,32,1,32,12053,Hernando,,,,Florida,FL,,,2651,0.12137,
floridaofficial-120001-12053,120001,Republican Primary,Republican Primary,997348,floridaofficial-71039,,,,,,,Rick,,,,Scott,,,FALSE,,United States Senator,Republican Party,floridaofficial-71039,,32,1,32,12053,Hernando,,,,Florida,FL,,,19192,0.87863,
floridaofficial-120001-12055,120001,Republican Primary,Republican Primary,997349,floridaofficial-71036,,,,,,,Roque,,,,De La Fuente,,,FALSE,,United States Senator,Republican Party,floridaofficial-71036,,25,1,25,12055,Highlands,,,,Florida,FL,,,1085,0.091825,
floridaofficial-120001-12055,120001,Republican Primary,Republican Primary,997350,floridaofficial-71039,,,,,,,Rick,,,,Scott,,,FALSE,,United States Senator,Republican Party,floridaofficial-71039,,25,1,25,12055,Highlands,,,,Florida,FL,,,10731,0.90818,
floridaofficial-120001-12057,120001,Republican Primary,Republican Primary,997351,floridaofficial-71036,,,,,,,Roque,,,,De La Fuente,,,FALSE,,United States Senator,Republican Party,floridaofficial-71036,,390,1,390,12057,Hillsborough,,,,Florida,FL,,,10044,0.10531,
floridaofficial-120001-12057,120001,Republican Primary,Republican Primary,997352,floridaofficial-71039,,,,,,,Rick,,,,Scott,,,FALSE,,United States Senator,Republican Party,floridaofficial-71039,,390,1,390,12057,Hillsborough,,,,Florida,FL,,,85328,0.89469,
floridaofficial-120001-12059,120001,Republican Primary,Republican Primary,997353,floridaofficial-71036,,,,,,,Roque,,,,De La Fuente,,,FALSE,,United States Senator,Republican Party,floridaofficial-71036,,8,1,8,12059,Holmes,,,,Florida,FL,,,396,0.13543,
floridaofficial-120001-12059,120001,Republican Primary,Republican Primary,997354,floridaofficial-71039,,,,,,,Rick,,,,Scott,,,FALSE,,United States Senator,Republican Party,floridaofficial-71039,,8,1,8,12059,Holmes,,,,Florida,FL,,,2528,0.86457,
floridaofficial-120001-12061,120001,Republican Primary,Republican Primary,997355,floridaofficial-71036,,,,,,,Roque,,,,De La Fuente,,,FALSE,,United States Senator,Republican Party,floridaofficial-71036,,36,1,36,12061,Indian River,,,,Florida,FL,,,2411,0.12663,
floridaofficial-120001-12061,120001,Republican Primary,Republican Primary,997356,floridaofficial-71039,,,,,,,Rick,,,,Scott,,,FALSE,,United States Senator,Republican Party,floridaofficial-71039,,36,1,36,12061,Indian River,,,,Florida,FL,,,16629,0.87337,
floridaofficial-120001-12063,120001,Republican Primary,Republican Primary,997357,floridaofficial-71036,,,,,,,Roque,,,,De La Fuente,,,FALSE,,United States Senator,Republican Party,floridaofficial-71036,,14,1,14,12063,Jackson,,,,Florida,FL,,,335,0.086968,
floridaofficial-120001-12063,120001,Republican Primary,Republican Primary,997358,floridaofficial-71039,,,,,,,Rick,,,,Scott,,,FALSE,,United States Senator,Republican Party,floridaofficial-71039,,14,1,14,12063,Jackson,,,,Florida,FL,,,3517,0.91303,
floridaofficial-120001-12065,120001,Republican Primary,Republican Primary,997359,floridaofficial-71036,,,,,,,Roque,,,,De La Fuente,,,FALSE,,United States Senator,Republican Party,floridaofficial-71036,,16,1,16,12065,Jefferson,,,,Florida,FL,,,224,0.12095,
floridaofficial-120001-12065,120001,Republican Primary,Republican Primary,997360,floridaofficial-71039,,,,,,,Rick,,,,Scott,,,FALSE,,United States Senator,Republican Party,floridaofficial-71039,,16,1,16,12065,Jefferson,,,,Florida,FL,,,1628,0.87905,
floridaofficial-120001-12067,120001,Republican Primary,Republican Primary,997361,floridaofficial-71036,,,,,,,Roque,,,,De La Fuente,,,FALSE,,United States Senator,Republican Party,floridaofficial-71036,,5,1,5,12067,Lafayette,,,,Florida,FL,,,63,0.094595,
floridaofficial-120001-12067,120001,Republican Primary,Republican Primary,997362,floridaofficial-71039,,,,,,,Rick,,,,Scott,,,FALSE,,United States Senator,Republican Party,floridaofficial-71039,,5,1,5,12067,Lafayette,,,,Florida,FL,,,603,0.90541,
floridaofficial-120001-12069,120001,Republican Primary,Republican Primary,997363,floridaofficial-71036,,,,,,,Roque,,,,De La Fuente,,,FALSE,,United States Senator,Republican Party,floridaofficial-71036,,102,1,102,12069,Lake,,,,Florida,FL,,,3601,0.094122,
floridaofficial-120001-12069,120001,Republican Primary,Republican Primary,997364,floridaofficial-71039,,,,,,,Rick,,,,Scott,,,FALSE,,United States Senator,Republican Party,floridaofficial-71039,,102,1,102,12069,Lake,,,,Florida,FL,,,34658,0.90588,
floridaofficial-120001-12071,120001,Republican Primary,Republican Primary,997365,floridaofficial-71036,,,,,,,Roque,,,,De La Fuente,,,FALSE,,United States Senator,Republican Party,floridaofficial-71036,,127,1,127,12071,Lee,,,,Florida,FL,,,8093,0.11443,
floridaofficial-120001-12071,120001,Republican Primary,Republican Primary,997366,floridaofficial-71039,,,,,,,Rick,,,,Scott,,,FALSE,,United States Senator,Republican Party,floridaofficial-71039,,127,1,127,12071,Lee,,,,Florida,FL,,,62629,0.88557,
floridaofficial-120001-12073,120001,Republican Primary,Republican Primary,997367,floridaofficial-71036,,,,,,,Roque,,,,De La Fuente,,,FALSE,,United States Senator,Republican Party,floridaofficial-71036,,155,1,155,12073,Leon,,,,Florida,FL,,,3454,0.15378,
floridaofficial-120001-12073,120001,Republican Primary,Republican Primary,997368,floridaofficial-71039,,,,,,,Rick,,,,Scott,,,FALSE,,United States Senator,Republican Party,floridaofficial-71039,,155,1,155,12073,Leon,,,,Florida,FL,,,19006,0.84622,
floridaofficial-120001-12075,120001,Republican Primary,Republican Primary,997369,floridaofficial-71036,,,,,,,Roque,,,,De La Fuente,,,FALSE,,United States Senator,Republican Party,floridaofficial-71036,,13,1,13,12075,Levy,,,,Florida,FL,,,810,0.14410,
floridaofficial-120001-12075,120001,Republican Primary,Republican Primary,997370,floridaofficial-71039,,,,,,,Rick,,,,Scott,,,FALSE,,United States Senator,Republican Party,floridaofficial-71039,,13,1,13,12075,Levy,,,,Florida,FL,,,4811,0.85590,
floridaofficial-120001-12077,120001,Republican Primary,Republican Primary,997371,floridaofficial-71036,,,,,,,Roque,,,,De La Fuente,,,FALSE,,United States Senator,Republican Party,floridaofficial-71036,,8,1,8,12077,Liberty,,,,Florida,FL,,,58,0.12262,
floridaofficial-120001-12077,120001,Republican Primary,Republican Primary,997372,floridaofficial-71039,,,,,,,Rick,,,,Scott,,,FALSE,,United States Senator,Republican Party,floridaofficial-71039,,8,1,8,12077,Liberty,,,,Florida,FL,,,415,0.87738,
floridaofficial-120001-12079,120001,Republican Primary,Republican Primary,997373,floridaofficial-71036,,,,,,,Roque,,,,De La Fuente,,,FALSE,,United States Senator,Republican Party,floridaofficial-71036,,11,1,11,12079,Madison,,,,Florida,FL,,,140,0.091087,
floridaofficial-120001-12079,120001,Republican Primary,Republican Primary,997374,floridaofficial-71039,,,,,,,Rick,,,,Scott,,,FALSE,,United States Senator,Republican Party,floridaofficial-71039,,11,1,11,12079,Madison,,,,Florida,FL,,,1397,0.90891,
