ElectionDate	PartyCode	PartyName	RaceCode	RaceName	CountyCode	CountyName	Juris1num	Juris2num	Precincts	PrecinctsReporting	CanNameLast	CanNameFirst	CanNameMiddle	CanVotes
HEY	Republican Primary	Republican Primary	120001	United States Senator	12051	Hendry	HEY	HEY	10	10	Scott	Rick	HEY	2012
HEY	Republican Primary	Republican Primary	120001	United States Senator	12053	Hernando	HEY	HEY	32	32	De La Fuente	Roque	HEY	2651
HEY	Republican Primary	Republican Primary	120001	United States Senator	12053	Hernando	HEY	HEY	32	32	Scott	Rick	HEY	19192
HEY	Republican Primary	Republican Primary	120001	United States Senator	12055	Highlands	HEY	HEY	25	25	De La Fuente	Roque	HEY	1085
HEY	Republican Primary	Republican Primary	120001	United States Senator	12055	Highlands	HEY	HEY	25	25	Scott	Rick	HEY	10731
HEY	Republican Primary	Republican Primary	120001	United States Senator	12057	Hillsborough	HEY	HEY	390	378	De La Fuente	Roque	HEY	9703
HEY	Republican Primary	Republican Primary	120001	United States Senator	12057	Hillsborough	HEY	HEY	390	378	Scott	Rick	HEY	82563
HEY	Republican Primary	Republican Primary	120001	United States Senator	12059	Holmes	HEY	HEY	8	8	De La Fuente	Roque	HEY	396
HEY	Republican Primary	Republican Primary	120001	United States Senator	12059	Holmes	HEY	HEY	8	8	Scott	Rick	HEY	2528
HEY	Republican Primary	Republican Primary	120001	United States Senator	12061	Indian River	HEY	HEY	36	36	De La Fuente	Roque	HEY	2411
HEY	Republican Primary	Republican Primary	120001	United States Senator	12061	Indian River	HEY	HEY	36	36	Scott	Rick	HEY	16629
HEY	Republican Primary	Republican Primary	120001	United States Senator	12063	Jackson	HEY	HEY	14	14	De La Fuente	Roque	HEY	335
HEY	Republican Primary	Republican Primary	120001	United States Senator	12063	Jackson	HEY	HEY	14	14	Scott	Rick	HEY	3517
HEY	Republican Primary	Republican Primary	120001	United States Senator	12065	Jefferson	HEY	HEY	16	16	De La Fuente	Roque	HEY	224
HEY	Republican Primary	Republican Primary	120001	United States Senator	12065	Jefferson	HEY	HEY	16	16	Scott	Rick	HEY	1628
HEY	Republican Primary	Republican Primary	120001	United States Senator	12067	Lafayette	HEY	HEY	5	5	De La Fuente	Roque	HEY	63
HEY	Republican Primary	Republican Primary	120001	United States Senator	12067	Lafayette	HEY	HEY	5	5	Scott	Rick	HEY	603
HEY	Republican Primary	Republican Primary	120001	United States Senator	12069	Lake	HEY	HEY	102	102	De La Fuente	Roque	HEY	3601
HEY	Republican Primary	Republican Primary	120001	United States Senator	12069	Lake	HEY	HEY	102	102	Scott	Rick	HEY	34658
HEY	Republican Primary	Republican Primary	120001	United States Senator	12071	Lee	HEY	HEY	127	127	De La Fuente	Roque	HEY	8093
HEY	Republican Primary	Republican Primary	120001	United States Senator	12071	Lee	HEY	HEY	127	127	Scott	Rick	HEY	62629
HEY	Republican Primary	Republican Primary	120001	United States Senator	12073	Leon	HEY	HEY	155	155	De La Fuente	Roque	HEY	3454
HEY	Republican Primary	Republican Primary	120001	United States Senator	12073	Leon	HEY	HEY	155	155	Scott	Rick	HEY	19006
HEY	Republican Primary	Republican Primary	120001	United States Senator	12075	Levy	HEY	HEY	13	13	De La Fuente	Roque	HEY	810
HEY	Republican Primary	Republican Primary	120001	United States Senator	12075	Levy	HEY	HEY	13	13	Scott	Rick	HEY	4811
HEY	Republican Primary	Republican Primary	120001	United States Senator	12077	Liberty	HEY	HEY	8	0	De La Fuente	Roque	HEY	58
HEY	Republican Primary	Republican Primary	120001	United States Senator	12077	Liberty	HEY	HEY	8	0	Scott	Rick	HEY	415
HEY	Republican Primary	Republican Primary	120001	United States Senator	12079	Madison	HEY	HEY	11	11	De La Fuente	Roque	HEY	140
HEY	Republican Primary	Republican Primary	120001	United States Senator	12079	Madison	HEY	HEY	11	11	Scott	Rick	HEY	1397
HEY	Republican Primary	Republican Primary	120001	United States Senator	12081	Manatee	HEY	HEY	70	70	De La Fuente	Roque	HEY	4709
HEY	Republican Primary	Republican Primary	120001	United States Senator	12081	Manatee	HEY	HEY	70	70	Scott	Rick	HEY	37120
HEY	Republican Primary	Republican Primary	120001	United States Senator	12083	Marion	HEY	HEY	125	125	De La Fuente	Roque	HEY	4723
HEY	Republican Primary	Republican Primary	120001	United States Senator	12083	Marion	HEY	HEY	125	125	Scott	Rick	HEY	39332
HEY	Republican Primary	Republican Primary	120001	United States Senator	12085	Martin	HEY	HEY	30	30	De La Fuente	Roque	HEY	4906
HEY	Republican Primary	Republican Primary	120001	United States Senator	12085	Martin	HEY	HEY	30	30	Scott	Rick	HEY	19507
HEY	Republican Primary	Republican Primary	120001	United States Senator	12086	Miami-Dade	HEY	HEY	762	762	De La Fuente	Roque	HEY	12341
HEY	Republican Primary	Republican Primary	120001	United States Senator	12086	Miami-Dade	HEY	HEY	762	762	Scott	Rick	HEY	88714
HEY	Republican Primary	Republican Primary	120001	United States Senator	12087	Monroe	HEY	HEY	33	33	De La Fuente	Roque	HEY	1196
HEY	Republican Primary	Republican Primary	120001	United States Senator	12087	Monroe	HEY	HEY	33	33	Scott	Rick	HEY	6564
HEY	Republican Primary	Republican Primary	120001	United States Senator	12089	Nassau	HEY	HEY	15	15	De La Fuente	Roque	HEY	1526
HEY	Republican Primary	Republican Primary	120001	United States Senator	12089	Nassau	HEY	HEY	15	15	Scott	Rick	HEY	12869
